Data;Último;Abertura;Máxima;Mínima;;
02.01.2018;17.1;16.77;17.1;16.76;;
03.01.2018;17.32;17.01;17.44;16.98;;
04.01.2018;17.47;17.44;17.67;17.4;;
05.01.2018;17.61;17.46;17.62;17.37;;
08.01.2018;17.88;17.41;17.88;17.38;;
09.01.2018;17.88;17.82;18.03;17.77;;
10.01.2018;17.55;17.76;17.87;17.53;;
11.01.2018;17.98;17.66;18.03;17.58;;
12.01.2018;18.12;17.86;18.17;17.78;;
15.01.2018;18.22;18.07;18.31;18.07;;
16.01.2018;18.54;18.21;18.68;18.19;;
17.01.2018;19.22;18.67;19.22;18.61;;
18.01.2018;19.19;19.22;19.4;18.88;;
19.01.2018;19.06;19.25;19.36;18.97;;
22.01.2018;19.25;18.96;19.31;18.96;;
23.01.2018;19.14;19.15;19.26;18.89;;
24.01.2018;20.36;19.26;20.68;19.25;;
26.01.2018;21.43;20.76;21.49;20.22;;
29.01.2018;21.43;21.14;21.65;20.88;;
30.01.2018;20.9;21.25;21.31;20.55;;
31.01.2018;21.02;21.21;21.37;21.02;;
01.02.2018;21.84;21.02;21.88;20.93;;
02.02.2018;21.26;21.47;21.83;21.14;;
05.02.2018;20.3;20.99;21.23;20.3;;
06.02.2018;21.32;19.83;21.33;19.79;;
07.02.2018;20.71;21.31;21.55;20.59;;
08.02.2018;20.08;20.74;20.94;20;;
09.02.2018;19.83;20.11;20.52;19.41;;
14.02.2018;20.11;20.03;20.32;19.86;;
15.02.2018;20.46;20.4;20.52;20.1;;
16.02.2018;20.45;20.73;20.77;20.34;;
19.02.2018;21.02;20.59;21.06;20.55;;
20.02.2018;21.4;20.96;21.56;20.76;;
21.02.2018;21.16;21.4;21.74;21.16;;
22.02.2018;21.79;21.23;21.97;21.23;;
23.02.2018;22.35;21.91;22.46;21.83;;
26.02.2018;22.88;22.68;23;22.56;;
27.02.2018;22.82;22.88;23.3;22.8;;
28.02.2018;22.85;22.9;23.16;22.54;;
01.03.2018;22.47;22.75;22.98;22.21;;
02.03.2018;22.88;22.15;22.9;21.92;;
05.03.2018;23.53;22.88;23.65;22.81;;
06.03.2018;23.37;23.79;24.02;23.29;;
07.03.2018;23.05;23.35;23.4;22.67;;
08.03.2018;23.08;23.21;23.22;22.73;;
09.03.2018;23.69;23.16;23.71;22.93;;
12.03.2018;23.59;23.78;23.89;23.54;;
13.03.2018;23.36;23.78;23.81;23.27;;
14.03.2018;23.3;23.59;23.63;23.2;;
15.03.2018;22.82;23.09;23.32;22.71;;
16.03.2018;23.06;22.95;23.25;22.75;;
19.03.2018;22.29;22.65;22.87;22.29;;
20.03.2018;22.59;22.43;22.84;22.43;;
21.03.2018;23.45;22.62;23.55;22.55;;
22.03.2018;23.32;23.35;23.61;23.06;;
23.03.2018;23.4;23.17;23.77;23.1;;
26.03.2018;23.6;23.77;23.88;23.31;;
27.03.2018;23.02;23.69;23.8;22.88;;
28.03.2018;22.73;22.89;23.05;22.56;;
