Data;Último;Abertura;Máxima;Mínima;;;;
02.01.2018;66.57;66.55;67.29;66.24;;;;
03.01.2018;67.84;66.54;68.03;66.4;;;;
04.01.2018;68.07;67.89;68.27;67.62;;;;
05.01.2018;67.62;67.97;68.11;67.26;;;;
08.01.2018;67.78;67.8;67.99;67.44;;;;
09.01.2018;68.82;68;69.29;67.7;;;;
10.01.2018;69.2;69.12;69.37;68.75;;;;
11.01.2018;69.26;69.15;70.05;69;;;;
12.01.2018;69.87;69.15;69.93;68.59;;;;
15.01.2018;70.26;69.88;70.37;69.55;;;;
16.01.2018;69.15;70.05;70.13;68.83;;;;
17.01.2018;69.38;69.35;69.59;68.55;;;;
18.01.2018;69.31;69.53;69.63;68.8;;;;
19.01.2018;68.61;69.01;69.08;68.28;;;;
22.01.2018;69.03;68.8;69.51;68.39;;;;
23.01.2018;69.96;69.17;70.24;69.12;;;;
24.01.2018;70.53;69.97;70.94;69.54;;;;
25.01.2018;70.42;70.95;71.28;69.97;;;;
26.01.2018;70.52;70.07;70.83;70.05;;;;
29.01.2018;69.46;70.47;70.64;69.07;;;;
30.01.2018;69.02;69.3;69.39;68.4;;;;
31.01.2018;69.05;68.43;69.15;68.33;;;;
01.02.2018;69.65;69;69.97;68.81;;;;
02.02.2018;68.58;70;70.02;67.96;;;;
05.02.2018;67.62;68.15;68.46;66.9;;;;
06.02.2018;66.86;67.02;67.6;66.53;;;;
07.02.2018;65.51;67.2;67.72;65.16;;;;
08.02.2018;64.81;65.28;65.6;64.1;;;;
09.02.2018;62.79;64.44;64.64;61.77;;;;
12.02.2018;62.59;62.5;64.4;62.5;;;;
13.02.2018;62.72;62.85;63.1;61.76;;;;
14.02.2018;64.36;62.84;64.58;61.95;;;;
15.02.2018;64.33;64.44;65.15;63.12;;;;
16.02.2018;64.84;64.66;65.22;64.19;;;;
19.02.2018;65.67;64.96;65.9;64.84;;;;
20.02.2018;65.25;65.64;65.81;64.78;;;;
21.02.2018;65.42;65.05;65.53;64.4;;;;
22.02.2018;66.39;64.91;66.56;64.62;;;;
23.02.2018;67.31;66.3;67.37;65.79;;;;
26.02.2018;67.5;67.29;67.9;66.72;;;;
27.02.2018;66.63;67.57;67.61;66.32;;;;
28.02.2018;65.78;66.41;66.87;65.43;;;;
01.03.2018;63.83;64.57;65.04;63.19;;;;
02.03.2018;64.37;64.07;64.64;63.2;;;;
05.03.2018;65.54;64.65;65.88;64.1;;;;
06.03.2018;65.79;65.74;66.16;65.3;;;;
07.03.2018;64.34;65.23;65.8;63.83;;;;
08.03.2018;63.61;64.51;64.56;63.43;;;;
09.03.2018;65.49;63.93;65.63;63.69;;;;
12.03.2018;64.95;65.5;65.86;64.18;;;;
13.03.2018;64.64;64.92;65.68;64.05;;;;
14.03.2018;64.89;64.73;65.21;64.06;;;;
15.03.2018;65.12;64.9;65.38;64.61;;;;
16.03.2018;66.21;65.07;66.42;64.88;;;;
19.03.2018;66.05;66.01;66.39;65.39;;;;
20.03.2018;67.42;66.15;67.88;66.15;;;;
21.03.2018;69.47;67.61;69.86;67.48;;;;
22.03.2018;68.91;69.63;69.7;68.58;;;;
23.03.2018;70.45;69.11;70.57;68.87;;;;
26.03.2018;70.12;70.43;71.05;69.67;;;;
27.03.2018;70.11;70.13;71.03;69.45;;;;
28.03.2018;69.53;69.72;70.25;68.78;;;;
29.03.2018;70.27;69.86;70.44;69.1;;;;
02.04.2018;67.64;69.32;70.04;67.49;;;;
03.04.2018;68.12;67.63;68.46;67.62;;;;
04.04.2018;68.02;68.15;68.28;66.69;;;;
05.04.2018;68.33;68.36;68.93;67.73;;;;
06.04.2018;67.11;68.09;68.62;66.86;;;;
09.04.2018;68.65;67.1;68.8;67;;;;
10.04.2018;71.04;68.46;71.34;68.46;;;;
11.04.2018;72.06;71.03;73.09;70.57;;;;
12.04.2018;72.02;72.09;72.49;71.1;;;;
