Data;Último_xangai;Abertura_xangai;Máxima_xangai;Mínima_xangai;Vol_xangai;Var%_xangai;Último_cingapura;Var%_cingapura;Último_vale;Abertura_vale;Máxima_vale;Mínima_vale;Vol_vale;Var%_vale
20/01/2023;856.5;854.5;865.5;848;408950;0.0076;123.08;0.0068;93.99;93.9;94.57;93.5;27050000;0.0027
19/01/2023;850;845.5;859.5;842;616980;0.0125;122.25;0.0073;93.74;93.8;94.37;93.32;21710000;0.0043
18/01/2023;839.5;835.5;848.5;831.5;622280;0.0066;121.37;0.0029;93.34;93.06;94.24;92.91;16740000;0.0131
17/01/2023;834;836;841.5;826.5;542980;-0.0142;121.02;0.0042;92.13;92.51;93.24;91.83;18720000;-0.0013
16/01/2023;846;859;863.5;830;1000000;-0.0276;120.51;-0.0249;92.25;92;92.39;90.83;19560000;-0.0167
13/01/2023;870;856.5;883;854;748520;0.0211;123.59;0.0128;93.82;93.69;94.28;93.36;16910000;0.0009
12/01/2023;852;850.5;861.5;843.5;639740;0.0095;122.03;0.0044;93.74;93.48;94.3;92.94;18060000;0.0053
11/01/2023;844;842;852.5;835;554600;0.012;121.5;0.0125;93.25;93.99;94.48;92.26;23830000;-0.0035
10/01/2023;834;829.5;844;826.5;725770;0.0054;120;0.0167;93.58;92.49;93.9;92.34;19820000;0.0123
9/01/2023;829.5;845;846.5;815.5;1100000;-0.0172;118.03;-0.0055;92.44;91.53;92.99;91.25;19290000;0.0011
6/01/2023;844;845;856;832;800370;0.0054;118.68;0.0213;92.34;91;92.74;91;31420000;0.0158
5/01/2023;839.5;841;847;830;734420;-0.0129;116.2;0.0013;90.9;89.46;91.68;89;29090000;0.0168
4/01/2023;850.5;852.5;860.5;840;754100;0.0012;116.05;-0.0093;89.4;89.3;89.65;87.94;26400000;0.0018
3/01/2023;849.5;857;859;842;523310;-0.0064;117.14;-0.0001;89.24;89.4;90.09;88.89;25330000;-0.0018
29/12/2022;839.5;838;847.5;831;766770;0.009;111.15;-0.0014;88.88;89;89.95;88.83;40110000;-0.0012
28/12/2022;832;837.5;838.5;825;569100;0.003;111.31;0.0005;88.99;89.19;90.21;88.7;23310000;-0.0022
27/12/2022;829.5;828;838;818;682130;0.0104;111.25;0.0035;89.19;88;89.65;87.47;26720000;0.0239
26/12/2022;821;825;832;807;826330;0.0049;110.86;0;87.11;86.42;87.54;86.33;18410000;0.0092
23/12/2022;817;820;827.5;805.5;892170;-0.0115;110.86;-0.0006;86.32;85.28;86.52;85.08;18660000;0.0066
22/12/2022;826.5;832.5;835;816;785540;0.0179;110.93;-0.0002;85.75;86.28;86.65;84.69;19430000;-0.0057
21/12/2022;812;806.5;829.5;797;867880;0.0144;110.95;0.0075;86.24;86.9;87.4;85.8;39180000;0.0057
20/12/2022;800.5;794;810;788;821860;-0.0031;110.12;0.006;85.75;85.37;87.25;85.31;22660000;0.0045
19/12/2022;803;821;821.5;792;1000000;-0.0255;109.46;-0.0145;85.37;85;85.59;84.24;27510000;-0.0036
16/12/2022;824;830.5;841.5;803;1100000;0.0086;111.07;-0.0009;85.68;87;87.32;84.51;37690000;-0.0171
15/12/2022;817;811.5;832;807.5;959400;0.0162;111.17;0.0164;87.17;87.39;88.17;86.89;24780000;0.0032
14/12/2022;804;808.5;813;794.5;793160;0.0075;109.38;-0.0003;86.89;85.75;87.33;85.5;34560000;0.0085
13/12/2022;798;802.5;809.5;789;803170;-0.0148;109.41;-0.0014;86.16;86.25;87.4;85.63;31560000;0.0008
12/12/2022;810;811.5;822.5;800.5;797360;0.0012;109.56;-0.0155;86.09;88.15;88.3;85.38;35000000;-0.0299
9/12/2022;809;795;823;795;1000000;0.0398;111.28;0.0189;88.74;88.06;89.54;87.53;37710000;0.0333
8/12/2022;778;765.5;793;765.5;812670;-0.0013;109.22;0.0235;85.88;85.5;87.25;85.35;29830000;0.0123
7/12/2022;779;780;795;761;1000000;-0.0013;106.71;-0.0157;84.84;85.91;86.42;83.86;45440000;-0.0356
6/12/2022;780;780.5;792.5;773;739880;-0.0064;108.41;-0.0029;87.97;86.99;88.93;86.88;21340000;0.0145
5/12/2022;785;780;799.5;772;690620;0.0241;108.72;0.02;86.71;87.9;88.99;86.68;21900000;-0.001
2/12/2022;766.5;753.5;782.5;751.5;469230;0.0112;106.59;0.0355;86.8;86.76;87.74;84.97;30210000;0.0072
1/12/2022;758;756;767.5;750;442280;0.012;102.94;0.0223;86.18;86.42;86.75;84.73;34320000;0.0055
30/11/2022;749;751;755;740.5;310980;0;100.69;0.0796;85.71;85;86.62;84.76;59930000;0.015
29/11/2022;749;732;758;731.5;389320;0.0324;93.27;0.0028;84.44;82.85;85.68;82.62;42570000;0.0386
28/11/2022;725.5;730.5;735;717.5;310390;0.0247;93.01;-0.0005;81.3;80.6;82.34;79.52;16170000;0.0049
25/11/2022;708;701;727;694.5;285280;0.005;93.06;0.0059;80.9;82;82.88;80.68;20480000;-0.0068
24/11/2022;704.5;700.5;713;698;226020;0.0144;92.51;0.0009;81.45;81.51;82.39;80.61;12420000;0.0064
23/11/2022;694.5;687;707;686.5;261090;-0.0093;92.43;0.0027;80.93;80.93;81.36;79.94;22420000;0.0099
22/11/2022;701;707;713;690;232740;-0.0078;92.18;-0.0063;80.14;79.95;81.46;79.39;27110000;0.0028
21/11/2022;706.5;722;723.5;693.5;308150;-0.0215;92.76;-0.0121;79.92;79.1;80.19;78.28;27750000;-0.0113
18/11/2022;722;720;730.5;715;257690;0.0162;93.9;0.0068;80.83;84.35;84.49;80.7;44190000;-0.0273
17/11/2022;710.5;716;722.5;702;246810;-0.0035;93.27;-0.0017;83.1;80.87;83.29;80.74;31790000;0.008
16/11/2022;713;700;723;698;213310;0.0128;93.43;0.0106;82.44;83.32;84.77;81.54;32940000;-0.0104
3/11/2022;606;602.5;613.5;599;86600;0.0033;83.32;0.0146;67.15;67.64;67.94;66.58;34280000;-0.0292
1/11/2022;591.5;588;605.5;577;127270;0.006;79.79;0.0155;69.17;69.45;70.8;68.95;42370000;0.0304
31/10/2022;588;598.5;602.5;579;114570;-0.0313;78.57;-0.1514;67.13;66;69.4;65.52;38920000;-0.0047
28/10/2022;607;609;617;595;142190;-0.0265;92.59;-0.0032;67.45;68.59;69.05;66.65;52410000;-0.0488
27/10/2022;623.5;628.5;633;611;66700;-0.0158;92.89;-0.0062;70.91;72;72.12;69.43;52360000;-0.0356
26/10/2022;633.5;631;643.5;623.5;59700;0;93.47;-0.0044;73.53;71.28;74.85;71.12;40750000;0.0222
25/10/2022;633.5;639;641.5;626.5;48700;-0.0155;93.88;-0.006;71.93;71.61;73.27;70.92;28070000;0
24/10/2022;643.5;638;655;636.5;52000;0.0039;94.45;0;71.93;73.27;73.95;71.18;31960000;-0.0297
21/10/2022;641;630;649;628;51500;0.0063;94.45;0.0047;74.13;71.8;74.68;71.44;36610000;0.0293
20/10/2022;637;649;649;627.5;72100;-0.0185;94.01;-0.0093;72.02;70.98;73.19;70.32;37180000;0.0128
19/10/2022;649;647;655;643.5;34100;0.0046;94.89;-0.0013;71.11;71.63;72.13;70.58;22590000;-0.0118
18/10/2022;646;649;655;638;54000;-0.01;95.01;0.0043;71.96;72.3;72.83;70.74;27410000;0.0183
17/10/2022;652.5;665;667.5;644;58900;-0.0151;94.6;-0.0122;70.67;70.21;71.24;69.26;25800000;0.012
14/10/2022;662.5;655;670.5;650.5;35300;-0.0075;95.77;0.0092;69.83;72.61;73.36;69.6;33830000;-0.0326
13/10/2022;667.5;675.5;678;657;43900;-0.0089;94.9;-0.0118;72.18;72.25;72.8;71.05;32730000;-0.0178
11/10/2022;689;699.5;702.5;678.5;45200;-0.0122;96.47;-0.0164;73.49;73.2;74.18;72.03;33780000;-0.0068
10/10/2022;697.5;681;702;681;34700;0.0205;98.08;0.0262;73.99;76.41;77.02;73.48;45410000;-0.0201
30/09/2022;683.5;685;690.5;677;39600;0.0022;95.46;-0.0294;72.04;68.49;72.9;68.26;55360000;0.0528
29/09/2022;682;673;691;669.5;46600;0.0074;98.35;0.0014;68.43;67.93;68.78;67.35;34840000;0.0013
28/09/2022;677;679;684.5;669;30900;0.0052;98.21;-0.0041;68.34;67.71;68.84;67.44;24260000;0.0095
27/09/2022;673.5;670;679.5;667;35500;0.0052;98.61;0.0018;67.7;68.58;68.8;67.19;31560000;-0.0044
26/09/2022;670;675;677;661;50500;-0.014;98.43;-0.0049;68;67.7;69.42;67.64;34450000;-0.0083
